interviewID,socialclass,age3g,opportunities,morescience_lowfaith,right_wrong,science_not_important,better_of_ worse_of,partyvotefor,sex
840071551,3,3,2,10,1,7,1,840001,1
840071552,3,3,10,-2,9,7,2,840004,1
840071553,2,1,8,3,2,1,2,840002,2
840071554,5,2,3,7,7,10,2,840002,1
840071555,4,3,7,10,10,3,2,840002,2
840071556,2,2,2,8,7,2,2,840001,1
840071557,3,1,2,8,2,8,2,840001,1
840071558,3,2,9,5,6,6,2,840001,1
840071559,2,1,8,8,5,3,2,840002,2
840071560,3,1,5,6,8,10,3,840002,2
840071561,1,3,1,1,1,1,3,840002,1
840071562,3,3,8,3,1,1,3,840001,1
840071563,3,2,5,8,5,3,3,840004,1
840071564,3,1,5,3,5,2,3,840002,2
840071565,4,2,6,10,4,1,3,840002,2
840071566,4,3,3,7,8,3,3,840001,1
840071567,2,2,3,10,8,4,3,840004,1
840071568,2,1,7,3,4,7,3,840002,1
840071569,3,2,4,4,3,3,3,840001,2
840071570,3,2,7,7,5,2,3,840001,1
840071571,3,2,6,9,6,4,3,840005,2
840071572,4,1,5,10,5,4,3,840001,2
840071573,4,1,1,2,4,-2,3,840004,1
840071574,3,3,2,5,2,2,3,840004,1
840071575,4,3,8,8,5,2,3,840005,2
840071576,3,2,6,1,3,3,3,840005,1
840071577,5,3,3,5,1,5,3,840001,1
840071578,4,3,7,3,5,3,3,840002,2
840071579,3,2,3,8,7,2,3,840005,1
840071580,4,3,4,5,6,6,3,840001,2
840071581,1,2,1,3,6,8,3,840006,2
840071582,4,2,6,4,4,4,3,840002,2
840071583,4,2,2,5,1,1,3,840001,1
840071584,2,2,8,5,7,4,3,840002,1
840071585,3,2,8,5,5,5,4,840002,2
840071586,3,2,6,8,7,6,4,840006,1
840071587,3,3,10,3,5,8,4,840001,1
840071588,3,2,4,10,-2,6,4,840001,2
840071589,2,3,6,8,3,7,4,840001,2
840071590,5,2,5,7,5,9,4,840001,2
840071591,2,1,5,6,7,7,4,840001,2
840071592,3,1,6,10,5,7,4,840001,1
840071593,3,2,6,7,6,3,4,840002,2
840071594,4,1,6,6,5,4,4,840002,2
840071595,5,2,4,3,4,1,4,840005,2
840071596,2,1,8,1,2,6,4,840001,2
840071597,3,1,4,5,9,8,4,840001,1
840071598,3,1,5,6,6,5,4,840002,2
